"Diversions originally bound for CYHM, CYKF, CYOW, CYQB, CYQG, CYUL, CYXU, CYYB, CYYZ, KBUF, KCLE, KDTW, KPIT, KROC, KSYR"

"Exclude ASP|BBA|BLS|CMD|CNS|CSJ|CVR|CYO|DCM|EJA|ERY|FEX|GAJ|GPD|HRT|HYD|JBA|KAP|KUK|LBQ|LXJ|MMY|NDL|NDU|NVC|OPT|REH|RVJ|SFY|STY|SYN|TFF|TWY|VAL|VSL|WWI"

Sat Nov  2 04:20:02 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
SWA458,1,2019-10-31 23:10:52-04,KBWI,KDTW,KSAN,2019-10-31 23:44:43-04,,2019-11-01 00:04:24-04
GTI3506,2,2019-10-31 22:20:46-04,KBWI,KPIT,KIAH,2019-10-31 23:48:18-04,2019-11-01 13:48:59-04,2019-11-01 13:48:59-04
DAL431,2,2019-10-31 19:33:50-04,KDCA,KPIT,KDTW,2019-10-31 20:27:30-04,2019-11-01 01:33:35-04,2019-11-01 01:33:57-04
AAL2752,1,2019-10-31 23:10:06-04,KDCA,KPIT,KDFW,2019-10-31 23:44:58-04,,2019-11-01 00:13:25-04
ASA2,2,2019-10-31 23:41:30-04,KDCA,KPIT,KSEA,2019-10-31 23:52:49-04,2019-11-01 01:36:11-04,2019-11-01 01:36:28-04
DAL1776,2,2019-11-01 00:04:24-04,KDCA,KPIT,KMSP,2019-11-01 00:13:14-04,2019-11-01 01:17:55-04,2019-11-01 01:18:25-04
RPA3501,2,2019-10-31 21:15:31-04,KEWR,KPIT,KDTW,2019-10-31 21:48:10-04,2019-11-01 06:30:42-04,2019-11-01 06:30:51-04
FFT454,2,2019-10-31 21:00:01-04,KIAD,KPIT,KDEN,2019-10-31 21:45:47-04,2019-11-01 00:05:14-04,2019-11-01 00:05:23-04
SWA2323,2,2019-10-31 22:52:12-04,KLGA,KCLE,KDAL,2019-10-31 23:26:24-04,2019-11-01 13:34:08-04,2019-11-01 13:34:22-04
SWA2484,2,2019-10-31 23:11:52-04,KPHL,KPIT,KDEN,2019-10-31 23:58:08-04,2019-11-01 01:03:06-04,2019-11-01 01:03:19-04
(26 rows)

Differences between servers

orldc-dev-fused02:
,   orldc-prod-fused04:
,,<  ACA2350
,,<  ASA2
,,>  ACA608
,,<  DAL1158
,,<  DAL1771
,,>  DAL135
,,>  ENY3905
,,<  FDX1914
,,>  JIA5421
,,>  JZA709
,,>  JZA748
,,>  JZA956
,,<  POE938
,,<  POE941
,,>  ROU1798
,,>  SKW3102
,,<  SWA1424
,,<  UCA4940
,,>  SWA8500
,,>  THU107
,,>  UCA5018
,,>  WJA374
,   orldc-prod-fused06:
,,<  ACA2350
,,<  DAL1158
,,<  DAL1771
,,<  FDX1914
,,<  POE938
,,<  POE941
,,<  UCA4940

orldc-prod-fused04:
,   orldc-dev-fused02:
,,>  ACA2350
,,<  ACA608
,,>  ASA2
,,<  DAL135
,,>  DAL1158
,,>  DAL1771
