"Diversions originally bound for KABI, KACT, KAUS, KCLL, KDAL, KDFW, KEFD, KELP, KGGG, KGRK, KHOU, KIAH, KLAW, KLBB, KLIT, KOKC, KSAT, KSHV, KSPS, KTUL, KTXK, KTYR"

Wed Oct 30 04:16:01 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
UAL21,2,2019-10-29 06:13:59-04,KIAH,EHAM,EHAM,2019-10-29 06:01:39-04,2019-10-29 06:27:06-04,2019-10-29 06:27:27-04
BAW26E,2,2019-10-29 06:19:50-04,KIAH,EGLL,EGLL,2019-10-29 06:07:37-04,2019-10-29 06:33:09-04,2019-10-29 06:33:16-04
ASQ4132,2,2019-10-29 13:49:53-04,KIAH,KLCH,KMCI,2019-10-29 14:07:43-04,2019-10-29 16:07:34-04,2019-10-29 16:08:07-04
UAL540,1,2019-10-29 14:31:22-04,KIAH,KSAT,KSAT,2019-10-29 14:19:17-04,,2019-10-29 14:37:09-04
UAL540,1,2019-10-29 14:31:22-04,KIAH,KSAT,KSAT,2019-10-29 14:19:17-04,,2019-10-29 14:31:22-04
UAL443,1,2019-10-29 13:47:56-04,KIAH,KSAT,KSEA,2019-10-29 14:19:59-04,,2019-10-29 14:39:26-04
ASQ4077,1,2019-10-29 14:19:26-04,KIAH,KSAT,KMAF,2019-10-29 14:25:03-04,,2019-10-29 14:44:40-04
UAL2057,2,2019-10-29 14:19:18-04,KIAH,KSAT,CYVR,2019-10-29 14:27:05-04,2019-10-29 16:48:18-04,2019-10-29 16:48:24-04
ASQ4217,2,2019-10-29 14:09:11-04,KIAH,KCRP,KBRO,2019-10-29 14:31:51-04,2019-10-29 16:04:11-04,2019-10-29 16:05:23-04
CPZ6060,1,2019-10-29 14:08:25-04,KIAH,KDFW,KLAX,2019-10-29 14:32:39-04,,2019-10-29 14:51:59-04
ASQ4392,1,2019-10-29 14:10:18-04,KIAH,KLCH,KLRD,2019-10-29 14:34:20-04,,2019-10-29 14:47:15-04
ASH6094,2,2019-10-29 14:17:21-04,KIAH,KSHV,KOKC,2019-10-29 14:38:53-04,2019-10-29 16:24:19-04,2019-10-29 16:24:58-04
ASQ3998,1,2019-10-29 14:37:36-04,KIAH,KLCH,KGPT,2019-10-29 14:40:19-04,,2019-10-29 14:52:51-04
DAL2505,1,2019-10-29 14:15:50-04,KIAH,KSAT,KSLC,2019-10-29 14:40:27-04,,2019-10-29 15:00:42-04
ASH5824,1,2019-10-29 14:39:06-04,KIAH,KSAT,KPHX,2019-10-29 14:44:46-04,,2019-10-29 15:08:17-04
UAL2359,1,2019-10-29 14:59:33-04,KIAH,KSAT,KSAT,2019-10-29 14:47:27-04,,2019-10-29 15:06:23-04
UAL2359,1,2019-10-29 14:59:33-04,KIAH,KSAT,KSAT,2019-10-29 14:47:27-04,,2019-10-29 14:59:33-04
ASH6097,2,2019-10-29 14:21:21-04,KIAH,KSHV,KDTW,2019-10-29 14:47:53-04,2019-10-29 16:32:54-04,2019-10-29 16:33:25-04
AAL2376,1,2019-10-29 14:23:13-04,KIAH,KHOU,KDFW,2019-10-29 14:50:15-04,,2019-10-29 15:02:53-04
ASH6186,2,2019-10-29 14:15:38-04,KIAH,KSHV,KJAX,2019-10-29 14:50:53-04,2019-10-29 18:11:22-04,2019-10-29 18:11:57-04
ASQ4046,2,2019-10-29 14:18:27-04,KIAH,KCRP,KCRP,2019-10-29 14:52:13-04,2019-10-29 16:03:47-04,2019-10-29 16:05:09-04
ASQ4337,1,2019-10-29 14:24:32-04,KIAH,KHOU,KSTL,2019-10-29 14:55:31-04,,2019-10-29 15:07:59-04
ASH6153,1,2019-10-29 14:11:13-04,KIAH,KSHV,KTPA,2019-10-29 14:56:01-04,,2019-10-29 15:09:34-04
ASQ4126,2,2019-10-29 14:04:25-04,KIAH,KAEX,KHRL,2019-10-29 14:56:44-04,2019-10-29 15:46:14-04,2019-10-29 15:46:44-04
SKW5502,2,2019-10-29 14:10:11-04,KIAH,KBTR,KPNS,2019-10-29 14:58:33-04,2019-10-29 16:19:49-04,2019-10-29 16:20:20-04
RPA3660,2,2019-10-29 14:18:32-04,KIAH,KLFT,KCLE,2019-10-29 14:59:34-04,2019-10-29 15:57:29-04,2019-10-29 15:57:46-04
SKW5379,1,2019-10-29 14:47:19-04,KIAH,KHOU,KBHM,2019-10-29 15:01:02-04,,2019-10-29 15:28:10-04
RPA3474,2,2019-10-29 14:20:47-04,KIAH,KCLL,KRDU,2019-10-29 15:01:48-04,2019-10-29 15:44:45-04,2019-10-29 15:45:26-04
UAL2084,1,2019-10-29 14:42:47-04,KIAH,KSAT,CYEG,2019-10-29 15:02:37-04,,2019-10-29 15:22:40-04
RPA3707,2,2019-10-29 14:41:40-04,KIAH,KLFT,KXNA,2019-10-29 15:04:26-04,2019-10-29 21:47:15-04,2019-10-29 21:47:31-04
UAL2116,1,2019-10-29 14:23:00-04,KIAH,KHOU,KHOU,2019-10-29 15:04:30-04,,2019-10-29 15:22:44-04
UAL1788,2,2019-10-29 15:05:47-04,KIAH,KMSY,KMCO,2019-10-29 15:05:14-04,2019-10-29 16:37:11-04,2019-10-29 16:37:40-04
UAL663,2,2019-10-29 14:18:45-04,KIAH,KMSY,KEWR,2019-10-29 15:10:18-04,2019-10-29 17:35:23-04,2019-10-29 17:35:57-04
DAL2152,1,2019-10-29 14:10:27-04,KIAH,KDFW,KATL,2019-10-29 15:14:45-04,,2019-10-29 15:36:28-04
UAL1031,2,2019-10-29 14:22:08-04,KIAH,KLCH,MPTO,2019-10-29 15:15:59-04,2019-10-29 16:31:06-04,2019-10-29 16:31:32-04
ASH6016,2,2019-10-29 14:24:13-04,KIAH,KCRP,KIND,2019-10-29 15:44:32-04,2019-10-29 16:50:52-04,2019-10-29 16:51:34-04
ASH6351,2,2019-10-29 17:20:15-04,KIAH,KBTR,KSTL,2019-10-29 18:17:35-04,2019-10-29 19:09:30-04,2019-10-29 19:10:09-04
UAL514,2,2019-10-29 14:37:37-04,KIAH,KMSY,KFLL,,,2019-10-29 15:01:12-04
SKW1357,2,2019-10-29 09:32:03-04,KICT,KOKC,KLBB,2019-10-29 10:02:53-04,2019-10-29 13:16:46-04,2019-10-29 13:17:12-04
BVN7844,1,2019-10-29 21:12:10-04,KLBB,KABI,KABI,2019-10-29 21:29:50-04,,2019-10-29 21:42:33-04
BVN7756,1,2019-10-29 21:21:42-04,KLBB,KROW,KROW,2019-10-29 22:11:04-04,,2019-10-29 22:23:26-04
BVN7793,1,2019-10-29 22:05:10-04,KLBB,KABI,KABI,2019-10-29 22:14:42-04,,2019-10-29 22:29:23-04
LXJ377,1,2019-10-29 15:47:47-04,KLIT,KAUS,KDAL,2019-10-29 16:54:53-04,,2019-10-29 17:08:02-04
MDS654,2,2019-10-29 01:43:45-04,KLRD,KSHV,KYIP,2019-10-29 02:03:54-04,2019-10-29 02:55:33-04,2019-10-29 02:56:00-04
ASH5949,1,2019-10-30 02:38:07-04,KMAF,KDFW,KDFW,2019-10-30 02:51:38-04,,2019-10-30 03:03:45-04
FDX1334,1,2019-10-29 23:25:31-04,KMEM,KDFW,KABQ,2019-10-29 23:34:20-04,,2019-10-30 00:02:39-04
